iter	Passed	Remaining
415	2680	3762
416	2685	3754
417	2691	3747
418	2697	3740
419	2703	3732
420	2709	3726
421	2715	3719
422	2721	3711
423	2728	3706
424	2734	3699
425	2740	3691
426	2745	3684
427	2751	3677
428	2757	3670
429	2762	3662
430	2768	3654
431	2774	3647
432	2779	3639
433	2784	3631
434	2790	3624
435	2796	3617
436	2802	3609
437	2808	3603
438	2813	3595
439	2818	3587
440	2825	3581
441	2831	3574
442	2837	3567
443	2842	3560
444	2848	3552
445	2854	3545
446	2860	3538
447	2865	3531
448	2871	3524
449	2877	3516
450	2883	3509
451	2889	3502
452	2894	3495
453	2899	3487
454	2906	3480
455	2911	3473
456	2916	3465
457	2922	3459
458	2928	3451
459	2934	3445
460	2941	3438
461	2946	3431
462	2952	3424
463	2958	3417
464	2963	3409
465	2969	3403
466	2974	3395
467	2980	3387
468	2986	3381
469	2991	3373
470	2997	3366
471	3003	3360
472	3009	3352
473	3014	3345
474	3020	3338
475	3025	3330
476	3031	3323
477	3038	3317
478	3044	3311
479	3049	3303
480	3055	3296
481	3061	3289
482	3066	3282
483	3072	3275
484	3078	3268
485	3084	3261
486	3089	3254
487	3094	3247
488	3100	3240
489	3106	3232
490	3111	3225
491	3117	3218
492	3122	3211
493	3127	3203
494	3133	3197
495	3139	3189
496	3144	3182
497	3150	3176
498	3156	3168
499	3161	3161
500	3167	3154
501	3172	3147
502	3178	3140
503	3184	3133
504	3189	3126
505	3195	3119
506	3201	3112
507	3206	3105
508	3211	3098
509	3217	3091
510	3223	3084
511	3228	3077
512	3234	3070
513	3239	3063
514	3245	3056
515	3251	3049
516	3256	3042
517	3262	3035
518	3267	3028
519	3273	3021
520	3279	3015
521	3284	3007
522	3290	3000
523	3296	2994
524	3301	2987
525	3307	2980
526	3312	2973
527	3317	2966
528	3323	2959
529	3330	2953
530	3336	2947
531	3343	2941
532	3349	2935
533	3355	2928
534	3362	2922
535	3367	2915
536	3374	2909
537	3380	2902
538	3386	2896
539	3393	2890
540	3399	2884
541	3405	2877
542	3412	2871
543	3418	2865
544	3424	2858
545	3430	2852
546	3436	2845
547	3442	2839
548	3448	2833
549	3454	2826
550	3461	2820
551	3467	2814
552	3473	2807
553	3479	2801
554	3485	2794
555	3491	2788
556	3497	2781
557	3502	2774
558	3509	2768
559	3515	2761
560	3521	2755
561	3527	2749
562	3532	2742
563	3538	2735
564	3545	2729
565	3551	2722
566	3557	2716
567	3563	2709
568	3569	2703
569	3576	2697
570	3582	2691
571	3589	2685
572	3595	2679
573	3600	2672
574	3607	2666
575	3614	2660
576	3620	2653
577	3626	2647
578	3632	2641
579	3638	2634
580	3644	2627
581	3649	2621
582	3655	2614
583	3661	2608
584	3667	2601
585	3674	2595
586	3679	2588
587	3685	2582
588	3691	2576
589	3697	2569
590	3704	2563
591	3709	2556
592	3716	2550
593	3722	2544
594	3729	2538
595	3736	2532
596	3742	2526
597	3749	2520
598	3757	2515
599	3763	2509
600	3771	2503
601	3777	2497
602	3784	2491
603	3791	2485
604	3798	2479
605	3805	2473
606	3811	2467
607	3816	2460
608	3824	2455
609	3830	2448
610	3836	2442
611	3841	2435
612	3848	2429
613	3854	2423
614	3860	2416
615	3866	2410
616	3871	2403
